Type;FSWP-8;
2.3442287743e-01;1.0020420908e-12;
2.3713737726e-01;1.0119927899e-12;
2.3988328874e-01;1.0179109075e-12;
2.4266099930e-01;1.0202211255e-12;
2.4547088146e-01;1.0156686690e-12;
2.4831329286e-01;1.0070205303e-12;
2.5118863583e-01;9.9097141083e-13;
2.5409725308e-01;9.7280289293e-13;
2.5703960657e-01;9.5075152178e-13;
2.6001596451e-01;9.2922631395e-13;
2.6302680373e-01;9.1040684106e-13;
2.6607251167e-01;8.9458822294e-13;
2.6915347576e-01;8.8325576237e-13;
2.7227014303e-01;8.7523819572e-13;
2.7542287111e-01;8.6891366498e-13;
2.7861210704e-01;8.6117083516e-13;
2.8183829784e-01;8.5127440036e-13;
2.8510180116e-01;8.3690384267e-13;
2.8840312362e-01;8.1752703565e-13;
2.9174268246e-01;7.9600155677e-13;
2.9512095451e-01;7.7193384063e-13;
2.9853826761e-01;7.5001691056e-13;
3.0199518800e-01;7.2991629017e-13;
3.0549213290e-01;7.1739364666e-13;
3.0902954936e-01;7.0909722321e-13;
3.1260794401e-01;7.0508946988e-13;
3.1622776389e-01;7.0837704192e-13;
3.1988951564e-01;7.1519076468e-13;
3.2359364629e-01;7.2572611982e-13;
3.2734069228e-01;7.4205442138e-13;
3.3113113046e-01;7.6286665786e-13;
3.3496543765e-01;7.8734263033e-13;
3.3884415030e-01;8.1547474936e-13;
3.4276777506e-01;8.4458232508e-13;
3.4673684835e-01;8.7119217005e-13;
3.5075187683e-01;8.9293492305e-13;
3.5481339693e-01;9.0621401442e-13;
3.5892194510e-01;9.0441662406e-13;
3.6307805777e-01;8.9179179449e-13;
3.6728230119e-01;8.7046439935e-13;
3.7153521180e-01;8.4359282797e-13;
3.7583738565e-01;8.1597163921e-13;
3.8018941879e-01;7.9507272077e-13;
3.8459178805e-01;7.8340112175e-13;
3.8904514909e-01;7.8091477512e-13;
3.9355006814e-01;7.8572136861e-13;
3.9810717106e-01;7.9415575678e-13;
4.0271702409e-01;8.0158595690e-13;
4.0738028288e-01;8.0255534206e-13;
4.1209751368e-01;7.9559427622e-13;
4.1686940193e-01;7.8156974165e-13;
4.2169651389e-01;7.6332240225e-13;
4.2657950521e-01;7.4457172199e-13;
4.3151906133e-01;7.2801102169e-13;
4.3651580811e-01;7.1377593506e-13;
4.4157046080e-01;6.9964411868e-13;
4.4668358564e-01;6.8328096002e-13;
4.5185595751e-01;6.6477324947e-13;
4.5708817244e-01;6.4722847307e-13;
4.6238100529e-01;6.3878053238e-13;
4.6773514152e-01;6.3371573614e-13;
4.7315126657e-01;6.4038200740e-13;
4.7863009572e-01;6.5813955848e-13;
4.8417237401e-01;6.8351980976e-13;
4.8977881670e-01;7.0992479473e-13;
4.9545016885e-01;7.2744300817e-13;
5.0118720531e-01;7.1805761207e-13;
5.0699073076e-01;7.0438609372e-13;
5.1286137104e-01;6.9515996692e-13;
5.1880002022e-01;6.9593799040e-13;
5.2480745316e-01;7.0405996571e-13;
5.3088444471e-01;7.1244328796e-13;
5.3703176975e-01;7.1538331899e-13;
5.4325032234e-01;7.0278657026e-13;
5.4954087734e-01;6.8435887382e-13;
5.5590426922e-01;6.7628265184e-13;
5.6234133244e-01;6.6962521682e-13;
5.6885290146e-01;6.6168283960e-13;
5.7543992996e-01;6.3841347573e-13;
5.8210319281e-01;6.1098738915e-13;
5.8884364367e-01;6.0175052875e-13;
5.9566217661e-01;6.0872590605e-13;
6.0255956650e-01;6.3155118071e-13;
6.0953688622e-01;6.4476234681e-13;
6.1659502983e-01;6.3611957498e-13;
6.2373483181e-01;6.0284551873e-13;
6.3095736504e-01;5.7270627043e-13;
6.3826352358e-01;5.3069213520e-13;
6.4565426111e-01;5.1634412891e-13;
6.5313053131e-01;5.3179129936e-13;
6.6069346666e-01;5.6681097533e-13;
6.6834390163e-01;5.9518254041e-13;
6.7608296871e-01;6.0008400159e-13;
6.8391162157e-01;5.9033621090e-13;
6.9183099270e-01;5.7538874923e-13;
6.9984197617e-01;5.5917743309e-13;
7.0794576406e-01;5.4304835368e-13;
7.1614342928e-01;5.3630282723e-13;
7.2443598509e-01;5.4833492347e-13;
7.3282450438e-01;5.6754877490e-13;
7.4131023884e-01;5.7590613051e-13;
7.4989420176e-01;5.7903746901e-13;
7.5857758522e-01;5.8281520885e-13;
7.6736146212e-01;5.9334720297e-13;
7.7624714375e-01;6.0783127663e-13;
7.8523564339e-01;6.0738941004e-13;
7.9432821274e-01;5.8446211195e-13;
8.0352610350e-01;5.4804527886e-13;
8.1283050776e-01;5.1227679867e-13;
8.2224267721e-01;5.1770426054e-13;
8.3176380396e-01;5.4150428716e-13;
8.4139513969e-01;5.5853390489e-13;
8.5113805532e-01;5.6092934117e-13;
8.6099374294e-01;5.6275882392e-13;
8.7096357346e-01;5.7956531284e-13;
8.8104885817e-01;6.0295328843e-13;
8.9125090837e-01;6.0880174600e-13;
9.0157115459e-01;5.7895366019e-13;
9.1201084852e-01;5.3945698819e-13;
9.2257142067e-01;5.3366057233e-13;
9.3325430155e-01;5.3906418175e-13;
9.4406086206e-01;5.0331505456e-13;
9.5499259233e-01;4.4482036869e-13;
9.6605086327e-01;4.2613517424e-13;
9.7723722458e-01;4.5192777472e-13;
9.8855310678e-01;4.8941233011e-13;
1.0000000000e+00;5.0169400969e-13;
1.0115795135e+00;5.0120058928e-13;
1.0232930183e+00;4.9914434565e-13;
1.0351421833e+00;4.9563163903e-13;
1.0471285582e+00;4.9074286301e-13;
1.0592536926e+00;4.8537394806e-13;
1.0715192556e+00;4.8131930299e-13;
1.0839269161e+00;4.7807271379e-13;
1.0964782238e+00;4.7705697899e-13;
1.1091748476e+00;4.7711238172e-13;
1.1220184565e+00;4.7800305381e-13;
1.1350108385e+00;4.7905798252e-13;
1.1481536627e+00;4.7999240216e-13;
1.1614485979e+00;4.8057494399e-13;
1.1748975515e+00;4.8085190343e-13;
1.1885021925e+00;4.8093148387e-13;
1.2022644281e+00;4.8059516436e-13;
1.2161860466e+00;4.7988159670e-13;
1.2302688360e+00;4.7884255155e-13;
1.2445145845e+00;4.7706288789e-13;
1.2589254379e+00;4.7474854993e-13;
1.2735030651e+00;4.7192382380e-13;
1.2882494926e+00;4.6812233994e-13;
1.3031667471e+00;4.6317431227e-13;
1.3182567358e+00;4.5726573569e-13;
1.3335214853e+00;4.5017686952e-13;
1.3489629030e+00;4.4284571127e-13;
1.3645831347e+00;4.3651058245e-13;
1.3803843260e+00;4.3151747908e-13;
1.3963683844e+00;4.2855690242e-13;
1.4125375748e+00;4.2660335984e-13;
1.4288939238e+00;4.2508366076e-13;
1.4454398155e+00;4.2428948267e-13;
1.4621771574e+00;4.2494016660e-13;
1.4791084528e+00;4.2883781920e-13;
1.4962356091e+00;4.3372729995e-13;
1.5135612488e+00;4.3744993522e-13;
1.5310875177e+00;4.3816607786e-13;
1.5488165617e+00;4.3490290037e-13;
1.5667510033e+00;4.2876471687e-13;
1.5848932266e+00;4.2312740768e-13;
1.6032453775e+00;4.1917787600e-13;
1.6218100786e+00;4.1634905701e-13;
1.6405898333e+00;4.1358976248e-13;
1.6595869064e+00;4.1030999670e-13;
1.6788040400e+00;4.0692265096e-13;
1.6982436180e+00;4.0397378368e-13;
1.7179083824e+00;3.9918930791e-13;
1.7378008366e+00;3.8398985055e-13;
1.7579236031e+00;3.3850038657e-13;
1.7782794237e+00;2.3315344880e-13;
1.7988709211e+00;1.6717213009e-13;
1.8197008371e+00;2.6183463492e-13;
1.8407719135e+00;2.8051470652e-13;
1.8620871305e+00;1.7383148957e-13;
1.8836491108e+00;2.3639380384e-13;
1.9054607153e+00;3.2435127717e-13;
1.9275249243e+00;3.5470882958e-13;
1.9498445988e+00;3.5853614457e-13;
1.9724227190e+00;3.5722444967e-13;
1.9952623844e+00;3.5956846767e-13;
2.0183663368e+00;3.6675653833e-13;
2.0417380333e+00;3.7804644398e-13;
2.0653800964e+00;3.9370102230e-13;
2.0892961025e+00;3.9955541588e-13;
2.1134889126e+00;3.9530211786e-13;
2.1379621029e+00;3.8650774747e-13;
2.1627185345e+00;3.7775465807e-13;
2.1877615452e+00;3.7288867740e-13;
2.2130947113e+00;3.7132341472e-13;
2.2387211323e+00;3.6994542087e-13;
2.2646441460e+00;3.6717981086e-13;
2.2908678055e+00;3.6401868390e-13;
2.3173947334e+00;3.6438406003e-13;
2.3442287445e+00;3.6977324956e-13;
2.3713736534e+00;3.7138358795e-13;
2.3988327980e+00;3.6810937870e-13;
2.4266099930e+00;3.6130731111e-13;
2.4547088146e+00;3.6157825323e-13;
2.4831330776e+00;3.6684864131e-13;
2.5118863583e+00;3.7052126775e-13;
2.5409727097e+00;3.6875412663e-13;
2.5703957081e+00;3.6551312107e-13;
2.6001594067e+00;3.5516855841e-13;
2.6302678585e+00;3.4260384785e-13;
2.6607251167e+00;3.3181294626e-13;
2.6915347576e+00;3.2769197512e-13;
2.7227013111e+00;3.2994109831e-13;
2.7542285919e+00;3.2841397245e-13;
2.7861211300e+00;3.2129068286e-13;
2.8183827400e+00;3.2198768933e-13;
2.8510184288e+00;3.3573469525e-13;
2.8840315342e+00;3.4538672378e-13;
2.9174270630e+00;3.3907861870e-13;
2.9512093067e+00;3.1958569363e-13;
2.9853825569e+00;3.0722112679e-13;
3.0199515820e+00;3.1496913367e-13;
3.0549211502e+00;3.1247592946e-13;
3.0902955532e+00;3.1026396730e-13;
3.1260793209e+00;3.0812478220e-13;
3.1622776985e+00;3.0579686461e-13;
3.1988949776e+00;3.0314281901e-13;
3.2359364033e+00;3.0021170554e-13;
3.2734067440e+00;2.9729002463e-13;
3.3113110065e+00;2.9487100695e-13;
3.3496541977e+00;2.9348753787e-13;
3.3884413242e+00;2.9355641182e-13;
3.4276781082e+00;2.9505152661e-13;
3.4673686028e+00;2.9813789783e-13;
3.5075187683e+00;3.0357950854e-13;
3.5481340885e+00;3.1209290794e-13;
3.5892193317e+00;3.2288231876e-13;
3.6307804585e+00;3.3305446617e-13;
3.6728229523e+00;3.3902283650e-13;
3.7153522968e+00;3.3661663951e-13;
3.7583739758e+00;3.2968517239e-13;
3.8018937111e+00;3.2163499837e-13;
3.8459177017e+00;3.1485607849e-13;
3.8904511929e+00;3.0986330038e-13;
3.9355010986e+00;3.0621398429e-13;
3.9810719490e+00;3.0357666251e-13;
4.0271706581e+00;3.0190528354e-13;
4.0738029480e+00;3.0118938485e-13;
4.1209754944e+00;3.0130477106e-13;
4.1686940193e+00;3.0201711900e-13;
4.2169651985e+00;3.0178499131e-13;
4.2657952309e+00;3.0122413353e-13;
4.3151907921e+00;3.0149336803e-13;
4.3651580811e+00;3.0142178358e-13;
4.4157042503e+00;3.0125893642e-13;
4.4668354988e+00;3.0131507098e-13;
4.5185589790e+00;3.0071182090e-13;
4.5708823204e+00;3.0133084613e-13;
4.6238102913e+00;3.0344764245e-13;
4.6773514748e+00;3.0542636562e-13;
4.7315125465e+00;3.0497891539e-13;
4.7863011360e+00;3.0210900513e-13;
4.8417239189e+00;2.9999941875e-13;
4.8977880478e+00;2.9454704734e-13;
4.9545016289e+00;2.8949371654e-13;
5.0118722916e+00;2.8778989283e-13;
5.0699067116e+00;2.8435801348e-13;
5.1286134720e+00;2.8121615822e-13;
5.1880002022e+00;2.7505526069e-13;
5.2480750084e+00;2.6056072447e-13;
5.3088445663e+00;2.4587409474e-13;
5.3703184128e+00;2.4664192672e-13;
5.4325037003e+00;2.8652194549e-13;
5.4954090118e+00;3.1040740724e-13;
5.5590424538e+00;2.9233408229e-13;
5.6234130859e+00;2.4699662346e-13;
5.6885290146e+00;2.3452388035e-13;
5.7543992996e+00;2.4896312225e-13;
5.8210320473e+00;2.4861994516e-13;
5.8884363174e+00;2.4397335281e-13;
5.9566211700e+00;2.4277056602e-13;
6.0255956650e+00;2.4169707034e-13;
6.0953693390e+00;2.3612443381e-13;
6.1659502983e+00;2.2446324313e-13;
6.2373485565e+00;2.2195462970e-13;
6.3095736504e+00;2.2609015625e-13;
6.3826351166e+00;2.2813958296e-13;
6.4565424919e+00;2.3009743525e-13;
6.5313053131e+00;2.3561954796e-13;
6.6069345474e+00;2.4364104484e-13;
6.6834387779e+00;2.5704094343e-13;
6.7608294487e+00;2.7183217157e-13;
6.8391160965e+00;2.8233332013e-13;
6.9183092117e+00;2.8985565033e-13;
6.9984202385e+00;2.9918011428e-13;
7.0794582367e+00;3.1096471426e-13;
7.1614346504e+00;3.2950012619e-13;
7.2443599701e+00;3.6044322908e-13;
7.3282456398e+00;3.8758688099e-13;
7.4131026268e+00;3.9743805035e-13;
7.4989418983e+00;3.9538486959e-13;
7.5857758522e+00;3.9618132451e-13;
7.6736145020e+00;3.9926634048e-13;
7.7624707222e+00;3.9967326866e-13;
7.8523559570e+00;4.0133052589e-13;
7.9432821274e+00;4.0154904683e-13;
8.0352611542e+00;3.9343425436e-13;
8.1283054352e+00;3.7559145789e-13;
8.2224273682e+00;3.4359472732e-13;
8.3176383972e+00;3.1395957882e-13;
8.4139518738e+00;3.0016166961e-13;
8.5113801956e+00;2.9387530278e-13;
8.6099376678e+00;2.9684346886e-13;
8.7096357346e+00;3.0458881944e-13;
8.8104887009e+00;2.9991262837e-13;
8.9125089645e+00;2.8953049810e-13;
9.0157108307e+00;2.9131035149e-13;
9.1201076508e+00;2.9795848948e-13;
9.2257137299e+00;2.9705196094e-13;
9.3325433731e+00;2.9785237319e-13;
9.4406089783e+00;3.3746207326e-13;
9.5499258041e+00;4.1600043180e-13;
9.6605091095e+00;4.7014876801e-13;
9.7723722458e+00;4.3871742177e-13;
9.8855314255e+00;3.5395213778e-13;
1.0000000000e+01;3.3898193497e-13;
1.0115794182e+01;3.2641733283e-13;
1.0232929230e+01;3.1413665614e-13;
1.0351421356e+01;3.0243919890e-13;
1.0471284866e+01;2.9349081759e-13;
1.0592536926e+01;2.8693939043e-13;
1.0715192795e+01;2.8215255653e-13;
1.0839268684e+01;2.7891220149e-13;
1.0964780807e+01;2.7606863735e-13;
1.1091747284e+01;2.7292575209e-13;
1.1220183372e+01;2.6936544900e-13;
1.1350107193e+01;2.6530370240e-13;
1.1481534958e+01;2.6139501804e-13;
1.1614487648e+01;2.5843937450e-13;
1.1748976707e+01;2.5687010028e-13;
1.1885023117e+01;2.5701869018e-13;
1.2022645950e+01;2.5906105603e-13;
1.2161861420e+01;2.6210227023e-13;
1.2302688599e+01;2.6528985172e-13;
1.2445146561e+01;2.6827073007e-13;
1.2589254379e+01;2.7091539732e-13;
1.2735031128e+01;2.7332945477e-13;
1.2882495880e+01;2.7573532650e-13;
1.3031667709e+01;2.7810436246e-13;
1.3182567596e+01;2.8000851963e-13;
1.3335214615e+01;2.8092982042e-13;
1.3489628792e+01;2.8046158061e-13;
1.3645831108e+01;2.7845390924e-13;
1.3803842545e+01;2.7511012132e-13;
1.3963683128e+01;2.7102511858e-13;
1.4125374794e+01;2.6706116702e-13;
1.4288938522e+01;2.6398197864e-13;
1.4454396248e+01;2.6197861697e-13;
1.4621770859e+01;2.6056432944e-13;
1.4791082382e+01;2.6023372910e-13;
1.4962354660e+01;2.5896583597e-13;
1.5135610580e+01;2.5928697665e-13;
1.5310873032e+01;2.6342911684e-13;
1.5488167763e+01;2.7265773732e-13;
1.5667512894e+01;2.8568542931e-13;
1.5848933220e+01;3.0228456457e-13;
1.6032455444e+01;3.0957785706e-13;
1.6218101501e+01;3.0726186569e-13;
1.6405899048e+01;2.9983857736e-13;
1.6595870972e+01;2.9030440161e-13;
1.6788040161e+01;2.8241712896e-13;
1.6982437134e+01;2.7908795067e-13;
1.7179084778e+01;2.8095193815e-13;
1.7378007889e+01;2.8773842033e-13;
1.7579236984e+01;2.9396144264e-13;
1.7782794952e+01;2.9641808214e-13;
1.7988708496e+01;2.9642155158e-13;
1.8197008133e+01;2.9437785759e-13;
1.8407718658e+01;2.8858279698e-13;
1.8620870590e+01;2.8825368741e-13;
1.8836490631e+01;2.9722852326e-13;
1.9054605484e+01;3.1625600034e-13;
1.9275247574e+01;3.2872294296e-13;
1.9498443604e+01;3.2685459157e-13;
1.9724225998e+01;3.0794979197e-13;
1.9952621460e+01;2.8857339153e-13;
2.0183660507e+01;2.8581640093e-13;
2.0417377472e+01;2.9316233143e-13;
2.0653804779e+01;3.0321548766e-13;
2.0892963409e+01;3.0737416193e-13;
2.1134893417e+01;3.0558289731e-13;
2.1379623413e+01;3.0254149338e-13;
2.1627187729e+01;3.0449224414e-13;
2.1877618790e+01;3.1040136282e-13;
2.2130949020e+01;3.1623518366e-13;
2.2387212753e+01;3.1930011478e-13;
2.2646444321e+01;3.2050477181e-13;
2.2908678055e+01;3.2183834048e-13;
2.3173946381e+01;3.1942290067e-13;
2.3442289352e+01;3.0403498187e-13;
2.3713737488e+01;2.9026184668e-13;
2.3988328934e+01;2.8383358489e-13;
2.4266099930e+01;2.8379390309e-13;
2.4547088623e+01;2.8595105884e-13;
2.4831329346e+01;2.8441699408e-13;
2.5118862152e+01;2.8293559444e-13;
2.5409725189e+01;2.8677144752e-13;
2.5703956604e+01;2.9012014145e-13;
2.6001592636e+01;2.8740643762e-13;
2.6302677155e+01;2.8843217420e-13;
2.6607248306e+01;2.9510500489e-13;
2.6915344238e+01;3.0089109372e-13;
2.7227008820e+01;3.2729884341e-13;
2.7542289734e+01;4.0666303875e-13;
2.7861215591e+01;4.6994027593e-13;
2.8183832169e+01;4.5943538687e-13;
2.8510185242e+01;4.2131795557e-13;
2.8840316772e+01;4.1238689438e-13;
2.9174272537e+01;3.9746225517e-13;
2.9512094498e+01;3.5524206732e-13;
2.9853828430e+01;3.1747079466e-13;
3.0199518204e+01;3.5179050970e-13;
3.0549211502e+01;3.4372550921e-13;
3.0902954102e+01;3.4068990576e-13;
3.1260793686e+01;3.3854833542e-13;
3.1622776031e+01;3.4035323388e-13;
3.1988950729e+01;3.4281605332e-13;
3.2359363556e+01;3.4673655548e-13;
3.2734069824e+01;3.5102205431e-13;
3.3113109589e+01;3.5570670216e-13;
3.3496543884e+01;3.6129630646e-13;
3.3884414673e+01;3.6735306637e-13;
3.4276775360e+01;3.7525421681e-13;
3.4673683167e+01;3.8349502068e-13;
3.5075183868e+01;3.9210827510e-13;
3.5481334686e+01;3.9927555619e-13;
3.5892189026e+01;4.0510964808e-13;
3.6307800293e+01;4.0684079369e-13;
3.6728233337e+01;4.0722424890e-13;
3.7153526306e+01;4.0534879598e-13;
3.7583744049e+01;4.0333846831e-13;
3.8018943787e+01;4.0131653968e-13;
3.8459182739e+01;3.9980001189e-13;
3.8904518127e+01;3.9805664190e-13;
3.9355010986e+01;3.9610597246e-13;
3.9810718536e+01;3.9350066174e-13;
4.0271705627e+01;3.9107391912e-13;
4.0738029480e+01;3.8900794478e-13;
4.1209751129e+01;3.8888610756e-13;
4.1686939240e+01;3.9322036838e-13;
4.2169651031e+01;4.0384741992e-13;
4.2657951355e+01;4.2695802948e-13;
4.3151905060e+01;4.6968169371e-13;
4.3651580811e+01;5.2373025621e-13;
4.4157043457e+01;5.8596579195e-13;
4.4668357849e+01;6.4065078112e-13;
4.5185592651e+01;6.7098935999e-13;
4.5708816528e+01;6.7564438202e-13;
4.6238098145e+01;6.5451458272e-13;
4.6773509979e+01;6.1208351755e-13;
4.7315120697e+01;5.6938319077e-13;
4.7863002777e+01;5.5155896126e-13;
4.8417228699e+01;5.6173831862e-13;
4.8977890015e+01;5.9431577498e-13;
4.9545024872e+01;6.2955950132e-13;
5.0118728638e+01;6.3592501490e-13;
5.0699077606e+01;6.0434822294e-13;
5.1286144257e+01;5.4875488919e-13;
5.1880008698e+01;4.8924763980e-13;
5.2480751038e+01;4.4230279704e-13;
5.3088447571e+01;4.1408619155e-13;
5.3703182220e+01;4.0135828146e-13;
5.4325035095e+01;3.9856567482e-13;
5.4954090118e+01;4.0398779699e-13;
5.5590427399e+01;4.1683407485e-13;
5.6234130859e+01;4.3229075918e-13;
5.6885292053e+01;4.4545367828e-13;
5.7543991089e+01;4.5306548227e-13;
5.8210319519e+01;4.5310565196e-13;
5.8884361267e+01;4.4697256421e-13;
5.9566211700e+01;4.3885340782e-13;
6.0255954742e+01;4.4043851140e-13;
6.0953685760e+01;4.4924673248e-13;
6.1659496307e+01;4.5926516713e-13;
6.2373477936e+01;4.6561680293e-13;
6.3095726013e+01;4.6788126758e-13;
6.3826339722e+01;4.6890605548e-13;
6.4565414429e+01;4.7173528105e-13;
6.5313064575e+01;4.7725235222e-13;
6.6069351196e+01;4.8552367638e-13;
6.6834396362e+01;5.0494477306e-13;
6.7608306885e+01;5.3531934744e-13;
6.8391174316e+01;5.6942975725e-13;
6.9183105469e+01;6.5455610767e-13;
6.9984207153e+01;8.7593745191e-13;
7.0794578552e+01;1.2635670505e-12;
7.1614341736e+01;1.9031299973e-12;
7.2443595886e+01;2.2019287435e-12;
7.3282455444e+01;2.0553619570e-12;
7.4131027222e+01;1.6998669182e-12;
7.4989418030e+01;1.1436716374e-12;
7.5857757568e+01;8.1142281479e-13;
7.6736145020e+01;7.4386390060e-13;
7.7624710083e+01;7.2824184833e-13;
7.8523559570e+01;7.5761955303e-13;
7.9432815552e+01;7.9296774225e-13;
8.0352607727e+01;8.5852169558e-13;
8.1283042908e+01;9.5422335398e-13;
8.2224258423e+01;1.0389993987e-12;
8.3176368713e+01;1.1337892430e-12;
8.4139503479e+01;1.1591331193e-12;
8.5113792419e+01;1.0927296394e-12;
8.6099365234e+01;9.9040068681e-13;
8.7096366882e+01;1.0214602601e-12;
8.8104896545e+01;1.3948751008e-12;
8.9125106812e+01;1.9627327107e-12;
9.0157119751e+01;2.1985575253e-12;
9.1201095581e+01;1.9745028095e-12;
9.2257148743e+01;1.7596158905e-12;
9.3325439453e+01;1.6253814700e-12;
9.4406089783e+01;1.1582728049e-12;
9.5499259949e+01;7.8954507862e-13;
9.6605087280e+01;6.9172450970e-13;
9.7723724365e+01;6.9599745888e-13;
9.8855308533e+01;7.3154519551e-13;
1.0000000000e+02;8.5703975384e-13;
1.0115797424e+02;8.2229031527e-13;
1.0232929993e+02;8.0970673959e-13;
1.0351424408e+02;8.1711395462e-13;
1.0471285248e+02;8.3929906211e-13;
1.0592539215e+02;8.6552499109e-13;
1.0715192413e+02;8.8810843445e-13;
1.0839271545e+02;9.0225559229e-13;
1.0964781189e+02;9.0567928591e-13;
1.1091750336e+02;8.8871759344e-13;
1.1220183563e+02;8.6332167543e-13;
1.1350109863e+02;8.2403414604e-13;
1.1481534576e+02;7.8126578557e-13;
1.1614487457e+02;7.3903925514e-13;
1.1748973846e+02;7.0384128213e-13;
1.1885023499e+02;6.7951156854e-13;
1.2022642517e+02;6.6363077143e-13;
1.2161861420e+02;6.6153050919e-13;
1.2302685547e+02;6.6597129287e-13;
1.2445146942e+02;6.7415214036e-13;
1.2589251709e+02;6.8422405328e-13;
1.2735031128e+02;6.9306577621e-13;
1.2882492065e+02;7.0098619834e-13;
1.3031668091e+02;7.0802982617e-13;
1.3182563782e+02;7.1506450934e-13;
1.3335214233e+02;7.2284382256e-13;
1.3489631653e+02;7.3150318268e-13;
1.3645831299e+02;7.4129325725e-13;
1.3803846741e+02;7.5330101315e-13;
1.3963682556e+02;7.6798458001e-13;
1.4125378418e+02;7.8427558501e-13;
1.4288938904e+02;8.0069100222e-13;
1.4454400635e+02;8.1500116985e-13;
1.4621769714e+02;8.2398660377e-13;
1.4791085815e+02;8.2945098272e-13;
1.4962355042e+02;8.3432707357e-13;
1.5135615540e+02;8.4031935056e-13;
1.5310871887e+02;8.4759093190e-13;
1.5488168335e+02;8.5434242146e-13;
1.5667507935e+02;8.5770572502e-13;
1.5848933411e+02;8.5560730593e-13;
1.6032450867e+02;8.5056207954e-13;
1.6218103027e+02;8.4799593562e-13;
1.6405894470e+02;8.5885731036e-13;
1.6595869446e+02;8.9832237786e-13;
1.6788037109e+02;9.7516580314e-13;
1.6982437134e+02;1.0783649364e-12;
1.7179080200e+02;1.1743400306e-12;
1.7378009033e+02;1.2248823917e-12;
1.7579231262e+02;1.2127829123e-12;
1.7782794189e+02;1.1899443019e-12;
1.7988714600e+02;1.1118047672e-12;
1.8197007751e+02;1.0368826023e-12;
1.8407723999e+02;9.7874030928e-13;
1.8620870972e+02;9.1981641488e-13;
1.8836494446e+02;8.9258315366e-13;
1.9054606628e+02;8.9467360386e-13;
1.9275253296e+02;9.0304646356e-13;
1.9498443604e+02;9.1473443403e-13;
1.9724230957e+02;9.2778161456e-13;
1.9952621460e+02;9.3899150608e-13;
2.0183666992e+02;9.4505555725e-13;
2.0417376709e+02;9.4595197560e-13;
2.0653804016e+02;9.4237031373e-13;
2.0892958069e+02;9.4729226633e-13;
2.1134892273e+02;9.5742446089e-13;
2.1379617310e+02;9.6665047928e-13;
2.1627186584e+02;9.7597548532e-13;
2.1877612305e+02;9.9101575470e-13;
2.2130947876e+02;1.0111936245e-12;
2.2387207031e+02;1.0253019137e-12;
2.2646444702e+02;1.0333644747e-12;
2.2908671570e+02;1.0317042359e-12;
2.3173947144e+02;1.0306025781e-12;
2.3442282104e+02;1.0394707014e-12;
2.3713737488e+02;1.0616628019e-12;
2.3988336182e+02;1.0909946991e-12;
2.4266101074e+02;1.1058727718e-12;
2.4547094727e+02;1.0979433508e-12;
2.4831329346e+02;1.0813669838e-12;
2.5118870544e+02;1.0766814957e-12;
2.5409725952e+02;1.0818973755e-12;
2.5703964233e+02;1.0939028546e-12;
2.6001593018e+02;1.1084395121e-12;
2.6302685547e+02;1.1201207063e-12;
2.6607247925e+02;1.1274938231e-12;
2.6915353394e+02;1.1361316618e-12;
2.7227008057e+02;1.1530434810e-12;
2.7542291260e+02;1.1796817863e-12;
2.7861206055e+02;1.2155790697e-12;
2.8183831787e+02;1.3216364851e-12;
2.8510177612e+02;1.5331628111e-12;
2.8840316772e+02;1.7575734704e-12;
2.9174264526e+02;1.7628970115e-12;
2.9512094116e+02;1.5605356634e-12;
2.9853820801e+02;1.3777005795e-12;
3.0199517822e+02;1.3563649986e-12;
3.0549203491e+02;1.3369480219e-12;
3.0902954102e+02;1.3281490708e-12;
3.1260784912e+02;1.3219042831e-12;
3.1622775269e+02;1.3270083817e-12;
3.1988958740e+02;1.3342490090e-12;
3.2359365845e+02;1.3462161073e-12;
3.2734075928e+02;1.3589610123e-12;
3.3113110352e+02;1.3725505107e-12;
3.3496551514e+02;1.3862127592e-12;
3.3884414673e+02;1.3999763805e-12;
3.4276785278e+02;1.4131960576e-12;
3.4673681641e+02;1.4261264695e-12;
3.5075192261e+02;1.4378459361e-12;
3.5481335449e+02;1.4485728155e-12;
3.5892199707e+02;1.4584161786e-12;
3.6307800293e+02;1.4676936966e-12;
3.6728234863e+02;1.4774658276e-12;
3.7153518677e+02;1.4888641535e-12;
3.7583743286e+02;1.5029610586e-12;
3.8018933105e+02;1.5187841219e-12;
3.8459182739e+02;1.5369786607e-12;
3.8904507446e+02;1.5546014996e-12;
3.9355010986e+02;1.5716436399e-12;
3.9810708618e+02;1.5858513504e-12;
4.0271704102e+02;1.6001074164e-12;
4.0738018799e+02;1.6149218464e-12;
4.1209753418e+02;1.6342823362e-12;
4.1686926270e+02;1.6581068116e-12;
4.2169650269e+02;1.6848730527e-12;
4.2657962036e+02;1.7133800888e-12;
4.3151907349e+02;1.7378597476e-12;
4.3651593018e+02;1.7577500870e-12;
4.4157043457e+02;1.7726356407e-12;
4.4668368530e+02;1.7824740165e-12;
4.5185592651e+02;1.7919194774e-12;
4.5708828735e+02;1.8030819893e-12;
4.6238098145e+02;1.8167569229e-12;
4.6773522949e+02;1.8331874647e-12;
4.7315121460e+02;1.8510496955e-12;
4.7863015747e+02;1.8692222249e-12;
4.8417230225e+02;1.8875972833e-12;
4.8977886963e+02;1.9058860393e-12;
4.9545010376e+02;1.9234657270e-12;
